Staffing action taken,Reduced staff hours or shifts,Increased staff hours or shifts,Reduced salaries or wages,Froze salaries or wages,Increased salaries or wages,Froze bonus payments,Delayed compensation,Hired more staff,Laid off staff
"Canada, all provinces and territories",-1.047244094488189,1.40625,1.2407407407407407,1.6153846153846154,1.8181818181818183,1.5555555555555556,1.22,1.9600000000000002,1.426056338028169
Newfoundland and Labrador,-1.0417910447761194,10.5,1.4606741573033708,1.1931818181818181,2.1578947368421053,2.4545454545454546,1.2857142857142858,1.7600000000000002,1.4931972789115646
Prince Edward Island,1.2354740061162077,-3.0000000000000004,1.8783783783783783,1.6363636363636365,1.6333333333333335,1.411764705882353,3.0,0,1.3520599250936332
Nova Scotia,1.0598802395209581,1.358974358974359,1.9272727272727272,2.5806451612903225,-1.3448275862068966,2.291666666666667,1.7600000000000002,1.243243243243243,1.1506024096385543
New Brunswick,1.019283746556474,2.0434782608695654,1.5806451612903227,2.325,2.8285714285714287,1.25,3.9090909090909087,1.7142857142857142,1.45
Quebec,-1.0784313725490196,1.5,1.3488372093023255,1.1866666666666668,1.5,4.545454545454545,-1.4390243902439026,1.475,1.6099999999999999
Ontario,-1.0921409214092141,1.4374999999999998,1.1454545454545455,1.6875,1.6551724137931034,-1.0303030303030303,1.3018867924528303,2.25,1.4354243542435423
Manitoba,1.0706521739130435,1.135135135135135,2.064516129032258,2.2641509433962264,4.681818181818182,2.7500000000000004,5.2727272727272725,3.4,1.5633187772925763
Saskatchewan,-1.0568181818181819,1.25,1.2804878048780488,1.207317073170732,2.1999999999999997,2.257142857142857,1.2903225806451613,1.2962962962962963,1.1859649122807017
Alberta,1.101010101010101,1.25,1.3666666666666667,1.878787878787879,1.4285714285714286,2.3777777777777778,1.3275862068965518,1.8333333333333333,1.4463667820069204
British Columbia,-1.0774818401937047,1.4230769230769231,1.0610687022900764,1.7833333333333332,2.925925925925926,1.6444444444444446,1.4285714285714284,2.12,1.34375
Northwest Territories,-1.2287390029325511,2.3636363636363633,-1.010989010989011,1.259259259259259,-1.1333333333333333,5.181818181818182,1.2727272727272725,2.0,1.1645962732919253
Yukon,-1.2287390029325511,2.3636363636363633,-1.010989010989011,1.259259259259259,-1.1333333333333333,5.181818181818182,1.2727272727272725,2.0,1.1645962732919253
Nunavut,-1.2287390029325511,2.3636363636363633,-1.010989010989011,1.259259259259259,-1.1333333333333333,5.181818181818182,1.2727272727272725,2.0,1.1645962732919253
